number_sample,decade_site,class_site,number_site,date_site,road_site,siteID,number_tree,dbh_tree,health_tree,bark_tree,pycnidia_tree,ridge_tree,crack_tree,margin_tree,dieback_tree,infection_sample,symptom_sample,Canopy.Dieback,Notes
408,50,U,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
409,50,U,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
414,50,U,6,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
415,50,U,6,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
416,50,U,6,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
417,50,U,6,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
410,50,U,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
411,50,U,6,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
412,50,U,6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
413,50,U,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
554,60,0,6,209,NA,60F06,31,3.5,1,orange,0,0,0,1,0,1,1,canopy_no,
585,70,0,1,219,NA,70F01,31,4.5,1,orange/red,1,1,1,1,0,1,1,canopy_no,
592,70,0,1,219,NA,70F01,8,8.5,1,green,0,1,0,1,0,1,1,canopy_healthy,
595,70,0,1,219,NA,70F01,33,4,1,orange,0,0,0,1,0,1,1,canopy_no,
596,70,0,1,219,NA,70F01,34,4.5,1,orange,0,0,0,1,0,1,1,"canopy_leaves,canopy_no",
597,70,0,1,219,NA,70F01,35,4.5,1,green,0,0,0,1,0,1,1,canopy_no,
608,70,0,3,214,NA,70F03,31,5.3,1,green,0,0,0,1,0,1,1,canopy_no,
609,70,0,3,214,NA,70F03,32,5.1,1,black,0,0,0,1,0,1,1,canopy_no,
610,70,0,3,214,NA,70F03,33,4.8,1,black,1,1,0,1,0,1,1,canopy_no,
611,70,0,3,214,NA,70F03,34,5.5,1,green,1,0,0,1,0,1,1,canopy_no,
612,70,0,3,214,NA,70F03,35,4.3,1,green,1,1,1,1,0,1,1,canopy_no,
623,70,0,9,213,NA,70F09,31,5,1,orange,0,0,0,1,0,1,1,canopy_no,
654,70,0,15,219,NA,70F15,31,3,1,orange,0,0,0,1,0,1,1,canopy_no,
656,70,0,16,219,NA,70F16,31,5.1,1,orange,0,0,0,1,0,1,1,canopy_no,
677,70,0,23,214,NA,70F23,32,5.5,1,orange,0,0,0,1,0,1,1,canopy_no,
679,70,0,23,214,NA,70F23,35,5,1,green,0,0,0,1,0,1,1,canopy_no,
680,70,0,23,214,NA,70F23,31,6.8,1,orange,0,0,0,1,0,1,1,canopy_no,
681,70,0,23,214,NA,70F23,36,8.2,1,orange,0,0,0,1,0,1,1,canopy_no,
688,70,0,25,211,NA,70F25,32,8,1,orange,1,0,0,1,0,1,1,canopy_no,
708,70,0,27,215,NA,70F27,31,5.3,1,orange/red,1,1,1,1,0,1,1,canopy_no,NOW 70F36
709,70,0,27,215,NA,70F27,32,5.8,1,orange/red,0,0,0,1,0,1,1,canopy_no,NOW 70F36
711,70,0,27,215,NA,70F27,34,4.5,1,orange/red,1,1,1,1,0,1,1,canopy_no,NOW 70F36
712,70,0,27,215,NA,70F27,35,4.9,1,orange/red,1,0,0,1,0,1,1,canopy_no,NOW 70F36
734,70,0,32,178,NA,70F32,4,11.2,1,green,0,0,0,1,0,1,1,canopy_healthy,
736,70,0,32,178,NA,70F32,7,11.3,1,green,0,0,0,1,0,1,1,canopy_no,
753,70,0,34,220,NA,70F34,31,3.7,1,black,0,1,0,1,0,1,1,canopy_no,
759,70,0,34,220,NA,70F34,32,3.5,1,orange/red,1,1,0,1,0,1,1,canopy_no,
760,70,0,34,220,NA,70F34,33,4,1,orange/red,1,1,0,1,0,1,1,canopy_no,
810,80,0,13,169,NA,80F13,33,2.9,0,orange,0,0,0,1,0,1,1,0,
811,80,0,13,169,NA,80F13,34,4.5,1,green,0,0,0,1,1,1,1,canopy_yes,
812,80,0,13,169,NA,80F13,35,6.3,1,green/orange,0,0,0,1,0,1,1,canopy_no,
813,80,0,13,169,NA,80F13,36,4.6,1,green/orange,0,0,0,1,0,1,1,canopy_no,
822,80,0,14,169,NA,80F14,16,23.2,1,green,0,0,1,1,0,1,1,canopy_leaves,
856,80,0,33,190,NA,80F33,31,1.1,1,orange/red,1,0,0,1,0,1,1,canopy_no,
859,80,0,33,190,NA,80F33,34,1.2,1,orange/red,1,0,0,1,0,1,1,"canopy_leaves,canopy_no",
873,80,0,35,190,NA,80F35,11,2.4,1,black,1,1,0,1,0,1,1,canopy_no,
880,80,0,35,190,NA,80F35,12,3.7,1,black,1,1,0,1,0,1,1,canopy_no,
883,80,0,35,190,NA,80F35,33,2.5,1,orange/red,1,0,0,1,0,1,1,canopy_no,
884,80,0,35,190,NA,80F35,32,1.8,1,black,1,0,0,1,0,1,1,canopy_no,
885,80,0,35,190,NA,80F35,31,2,1,orange/red,1,0,0,1,0,1,1,canopy_no,
896,80,0,36,190,NA,80F36,31,2,0,black,1,1,0,1,0,1,1,0,
922,80,0,6,171,NA,80F6,31,5,1,orange,0,1,0,1,0,1,1,canopy_no,
923,80,0,6,171,NA,80F6,32,6.7,1,green,0,0,0,1,0,1,1,canopy_death,
952,90,0,4,177,NA,90F4,13,3.1,1,orange,0,0,0,1,0,1,1,"canopy_leaves,canopy_no",
957,90,0,4,177,NA,90F4,32,3.1,1,black,1,0,0,1,0,1,1,canopy_no,
958,90,0,4,177,NA,90F4,31,2.2,1,orange/red,0,0,0,1,0,1,1,"canopy_no,canopy_leaves",
959,90,0,4,177,NA,90F4,33,2.5,1,green/orange,0,0,0,1,0,1,1,"canopy_no,canopy_leaves",
