Year	00M2T03A	00M2T04A	00M2T05A	00M2T06Z	00M6T03A	00M6T09A	00M6T10A	50B5T01A	50B5T02A	50F05T02A	50F05T03A	50F05T08A	50F05T12A	50U6T01A	50U6T02A	50U6T03A	50U6T06A	50U6T06E	50U6T07A	50U6T08A	50U6T09A	50U6T10A	60B1T13A	60F04T21A	60F04T22A	60F04T23A	60F04T24A	60F04T27A	60F04T28A	60F04T30A	60M1T01A	60M1T03A	60M1T04A	60M1T05A	60M1T07A	60M1T08A	60M1T12A	60M1T13A	60M1T15A	60M4T05A	60M4T06Z	60M4T08A	60M4T09A	60M4T12A	60M4T15A	60M4T16A	60M5T02A	60M5T03A	60M5T04A	60M5T05A	60M5T06A	60M5T13A	60M5T14A	60M5T15A	60M5T17A	60M5T19A	60M6T02A	60M6T04A	60M6T05A	60M6T06A	60M6T07A	60M6T08A	60M6T09A	60M6T10A	60M6T13A	70F09T11A	70F09T12A	70F09T13A	70F09T14A	70F09T15A	70F09T16A	70F09T17A	70F09T18A	70F09T19A	70F09T20A	70F09T21A	70F10T15Z	70F10T17A	70F10T18Z	70F10T19A	70F10T20A	70F11T11A	70F11T12A	70F11T14A	70F11T15A	70F11T16A	70F11T18A	70F16T13A	70F16T15A	70F16T17A	70F16T18A	70F27T01A	70F27T02A	70F27T03A	70F27T04A	70F27T05A	70F27T06A	70F27T10A	70F32T02A	70F32T09A	70F32T10A	70F34T11A	70F34T12A	70F34T13A	70F34T14Z	70F34T15A	70F34T16A	70F34T17A	70F34T18A	70F34T19A	70F34T20A	70F34T31A	70F39T22A	70F39T24A	70F39T25A	70F39T26A	70F39T27A	70F39T28A	70F39T30A	80F11T02A	80F11T04A	80F11T05A	80F11T09Z	80F12T02A	80F12T03A	80F12T04A	80F12T06A	80F12T07A	80F12T08A	80F12T09A	80F12T10A	80F12T11A	80F12T13A	80F14T02A	80F14T03A	80F14T04Z	80F14T05A	80F14T10Z	80F15T15A	80F15T16Z	80F33T11A	80F33T13A	80F33T14A	80F33T15A	80F33T16A	80F33T19A	80F33T20A	80F34T22A	80F34T23A	80F34T24A	80F35T13A	80F35T14A	80F35T15A	80F35T16A	80F35T17A	80F35T18A	80F35T19A	80F35T20A	80F35T21A	80F35T22A	90C10T04A	90C10T06A	90C10T09A	90C10T12A	90C10T13A	90C10T14A	90U1T02A	90U1T03A	90U1T05A	90U1T06A	90U1T07A	90U1T08A	90U1T09A	90U1T10A	90U1T12A	90U1T13A	90U1T17A	90U2T01A	90U2T03A	90U2T05A	90U2T07A	90U2T10A	90U2T11A	90U2T16A	90U2T18A	90U5T01A	90U5T02Z	90U5T04A	90U5T06A	90U5T08A	90U5T09A	90U5T11A	90U5T12A
1876																																																																												1.185																																																																																																																					
1877																																																																												1.513																																																																																																																					
1878																																																																												1.342																																																																																																																					
1879																				0.847																																																								2.022																																																																																																																					
1880																				0.455																																																								1.738																																																																																																																					
1881																				0.550																																																								2.024																																																																																																																					
1882																				0.551																																																								1.470																																																																																																																					
1883																				0.444																																																								1.321																																																																																																																					
1884																				0.635																																																								1.395																																																																																																																					
1885																				0.446																																																								1.796																																																																																																																					
1886																				0.731																																																								1.439																																																																																																																					
1887																				0.668																																																								1.477																																																																																																																					
1888																				0.985																																																								1.420																																																																																																																					
1889																				1.114																																																								1.088																																																																																																																					
1890																				1.357																																																								1.151																																																																																																																					
1891																				1.854																																																								1.198																																																																																																																					
1892																				1.577																																																								1.226																																																																																																																					
1893																				1.609																																																								1.228																																																																																																																					
1894																				1.778																																																								1.370																																																																																																																					
1895																				1.460																																																								1.365																																																																																																																					
1896																				1.421																																																								1.509																																																																																																																					
1897																				1.549																																																								1.065																																																																																																																					
1898																				1.252																																																								1.539																																																																																																																					
1899																				2.228																																																								1.099																																																																																																																					
1900																				1.305	1.290																																																							1.352																																																																																																																					
1901																				2.152	0.608																																																							1.205																																																																																																																					
1902																				2.695	1.209																																																							1.352																																																																																																																					
1903																				1.635	0.658																																																							1.168																																																																																																																					
1904																				1.266	0.847																																																							1.356																																																																																																																					
1905																				1.458	1.102																																																							1.704																																																																																																																					
1906																				1.137	1.037																																																							1.400																																																																																																																					
1907																				1.700	1.397																																																							1.377																																																																																																																					
1908																				2.214	1.503																																																							1.377																																																																																																																					
1909																				2.829	1.316																																																							1.005																																																																																																																					
1910																				1.927	1.326																																																							1.135																																																																																																																					
1911																				2.215	1.072																																																							1.059																																																																																																																					
1912																				1.832	0.933																																																							1.099																																																																																																																					
1913																				1.260	1.050																																																							1.163																																																																																																																					
1914																				1.513	1.411																																																							1.063																																																																																																																					
1915																				2.467	1.147																																																							0.747																																																																																																																					
1916																				1.313	1.497																																																							0.986																																																																																																																					
1917																				2.509	0.806																																																							0.928																																																																																																																					
1918																				1.334	1.156																																																							0.750																																																																																																																					
1919																				1.640	0.967																																																							0.761																																																																																																																					
1920																				1.472	0.900																																																							0.894																																																																																																																					
1921																				1.481	0.953																																																							0.837																																																																																																																					
1922																				1.217	1.091																																																							1.126																																																																																																																					
1923																				1.704	1.123																																																							0.747																																																																																																																					
1924																				1.440	0.879																																																							0.804																																																																																																																					
1925																				1.449	1.028																																																							0.742																																																																																																																					
1926																				1.196	0.639																																																							1.068																																																																																																																					
1927																				1.527	0.808																																																							0.778																																																																																																																					
1928																				1.135	0.499																																																							0.915																																																																																																																					
1929																				1.145	0.478																																																							0.879																																																																																																																					
