Year	00M2T08Z	00M2T09A	00M2T10A	00M2T11A	00M2T12A	00M2T13A	00M2T14A	00M6T01A	00M6T02A	00M6T04A	00M6T05A	00M6T06A	00M6T07A	50B5T03A	50B5T04A	50B5T05A	50B5T07A	50U2T01A	50U2T03A	50U2T04A	50U2T05A	50U2T06A	50U2T07A	50U2T10A	50U2T11A	50U2T12A	50U3T01A	50U3T02A	50U3T03A	50U3T04A	50U3T06A	50U3T07A	50U3T08A	50U3T09A	50U3T10A	50U6T01A	50U6T02E	50U6T03E	50U6T05A	50U6T07E	50U6T08E	50U6T09E	50U6T10E	60B1T02A	60B1T03A	60B1T04A	60B1T05A	60B1T09A	60B1T10A	60B1T11A	60B1T12A	60B1T14A	60B1T15A	60B3T01A	60B3T02A	60B3T03A	60B3T04A	60B3T05A	60B3T06A	60B3T07A	60B3T08A	60B3T09A	60B3T10A	60B4T01A	60B4T02A	60B4T03A	60B4T04A	60B4T05A	60B4T06A	60B4T07A	60B4T08A	60B4T09A	60B4T10A	60B5T01A	60B5T07A	60B5T09A	60B5T10A	60B5T11A	60B5T12A	60B5T13A	60B5T14A	60B5T15A	60B6T01A	60B6T02A	60B6T03A	60B6T05A	60B6T06A	60B6T07A	60B6T08A	60B6T10A	60B6T11A	60M1T02A	60M1T06A	60M1T09A	60M1T10A	60M1T11A	60M1T14A	60M1T16A	60M1T17A	60M1T18A	60M1T19A	60M1T20A	60M4T01A	60M4T02A	60M4T03A	60M4T04A	60M4T13A	60M4T14A	60M4T17A	60M4T18A	60M5T01A	60M5T07A	60M5T08A	60M5T09A	60M5T10A	60M5T11A	60M5T12A	60M5T16A	60M5T18A	60M5T20A	60M6T01A	60M6T02E	60M6T03A	60M6T07E	60M6T11A	60M6T12A	60M6T14A	60M7T02A	60M7T05A	60M7T06A	60M7T07A	60M7T08A	60M7T10A	60M7T11A	60M7T13A	60M7T14A	60M7T15A	60M8T01A	60M8T01E	60M8T03A	60M8T04A	60M8T05A	60M8T06A	60M8T07A	60M8T10A	60M8T11A	70F10T07A	70F10T08A	70F11T02Z	70F11T03Z	70F15T01A	70F15T08A	70F15T31A	70F16T01A	70F16T06A	70F16T07A	70F32T01A	70F32T05A	70F32T07A	70F34T01A	70F34T02A	70F34T03A	70F34T04A	70F34T05A	70F34T06A	70F34T08A	70F34T09A	70F34T10A	70F34T32A	70F34T33A	70F39T13A	70F39T14A	70F39T15A	70F39T16A	70F39T17A	70F39T19A	70F39T20A	80F06T04A	80F06T04B	80F08T01A	80F08T02A	80F08T08A	80F08T11Z	80F08T31A 	80F11T06A	80F11T11A	80F11T13A	80F12T01A	80F12T05A	80F12T12A	80F12T14A	80F12T15A	80F12T16A	80F12T17A	80F12T18A	80F12T19Z	80F12T20A	80F14T08A	80F33T01A	80F33T02A	80F33T03A	80F33T04A	80F33T05A	80F33T06A	80F33T07A	80F33T08A	80F33T09A	80F33T10A	80F34T06A	80F34T09A	80F34T10A	80F35T01A	80F35T02A	80F35T03A	80F35T04A	80F35T05A	80F35T06A	80F35T07A	80F35T08A	80F35T09A	80F35T10A	80F35T11A	80F35T12A	80F35T31A	80F35T33A	90U1T01A	90U1T01Z	90U1T02A	90U1T04A	90U1T05A	90U1T06A	90U1T11A	90U1T14A	90U1T15A	90U1T17A	90U1T18A	90U1T19A	90U1T20A	90U2T02A	90U2T04A	90U2T06A	90U2T08A	90U2T09A	90U2T12A	90U2T13A	90U2T14A	90U2T15A	90U2T16A	90U2T19A	90U2T20A	90U3T01A	90U3T02A	90U3T03A	90U3T04A	90U3T05A	90U3T06A	90U3T07A	90U3T08A	90U3T09A	90U3T10A	90U5T03A	90U5T05A	90U5T07A	90U5T14A	90U5T15A	90U6T01A	90U6T03A	90U6T04A	90U6T05A	90U6T06A	90U6T07A	90U6T10Z	90U6T12A	90U6T14A	90U6T15A
1950																	1.005																																																																																																																																																																																																																																																																		
1951																	0.519																																																																																																																																																																																																																																																																		
1952																	1.112																																																																																																																																																																																																																																																																		
1953																	2.181																																																																																																																																																																																																																																																																		
1954																	2.403																																																																																																																																																																																																																																																																		
1955																	2.108																																																																																																																																																																																																																																																																		
1956																	1.579																																																																																																																																																																																																																																																																		
1957																	2.034																																																																																																																																																																																																																																																																		
1958																	2.226																		0.657																																																																																																																																																																																																																																																
1959																	3.864		1.026									0.736							0.613																																																																																																																																																																																																																																																
1960																0.901	2.730		1.279									0.559							0.703																																																																																																																																																																																																																																																
1961																0.674	1.238		1.479	0.703					1.429			1.123		1.455					0.741																																																				1.422																																																																																																																																																																																												
1962															0.784	0.590	0.900		1.812	0.681					1.348			1.684		1.438					0.771																																																				1.987																																																																																																																																																2.245																																												
1963															1.124	0.794	1.069		1.377	0.488				1.563	1.025		1.246	1.150	0.689	1.550					0.675																																																				1.903																																																																																																																																																1.651																																												
1964															3.043	2.185	0.667		1.735	0.777	1.687			1.251	1.005		1.428	1.503	1.166	1.036		0.456			1.521																																																				0.797																																																																																																											2.446																																1.211					1.014																																												
1965														0.886	1.325	1.795	0.529		1.308	0.769	1.292		0.729	1.183	0.800	1.248	0.979	1.543	1.548	1.570		1.191			1.416																																																				0.234																																																																								0.827																																			2.059																																1.237					1.328																																												
1966														0.670	1.054	1.054	0.551		0.920	0.623	0.793		1.224	1.018	0.459	1.349	0.538	0.774	1.164	1.142		0.921			0.492																																																				0.776																																																																								0.814																																			2.900																																0.882					0.706																																												
1967														0.477	0.804	0.517	0.286		1.186	0.883	1.108		0.965	0.529	0.596	0.811	0.764	0.588	1.573	0.428		0.285			0.848																																																				0.487																																																																								0.884																																			2.203																																0.844					0.308																																												
1968														0.519	0.652	0.599	0.455		0.851	0.757	0.992		0.420	0.772	0.473	1.046	0.904	0.806	0.957	0.491		0.418			0.572																																																				0.764	1.060	1.782																																																																						1.653																																			2.225																																0.637					0.482																																												
1969														0.444	0.596	0.255	0.561	2.022	0.594	0.455	0.587		0.808	0.781	0.161	1.220	0.464	0.397	0.307	0.397		0.569	0.648		0.266																																																				0.529	1.101	0.639																																																																						2.060																																			1.446																																0.528				1.694	0.409																																												
1970														0.247	0.653	0.211	0.434	1.660	0.639	0.663	0.805		0.876	0.268	0.291	0.627	0.640	0.674	0.274	0.183		0.217	1.104		0.616																																																				0.605	0.505	0.627																																																																						2.122																																			1.587																																0.762				1.053	0.231																																												
1971														0.404	1.505	0.532	0.264	1.320	0.843	0.408	0.636		0.371	0.586	0.191	0.365	0.698	0.593	0.296	0.546	0.874	0.472	1.386		0.341																																																				0.338	0.894	0.257																										3.207		1.648											0.957		1.154				0.786																									1.458																																			1.143																																0.681				0.767	0.432																																												
1972														0.172	1.165	0.468	0.498	0.603	0.696	0.403	0.668		0.829	0.409	0.191	0.508	0.573	0.455	0.077	0.310	1.034	0.322	1.898	0.635	0.346																													0.968																							0.667	0.272	0.702																										1.896		2.750	2.409	2.390									1.676	1.272	1.028		1.134		2.335																							1.948		1.395																																			0.404																																0.872				0.603	0.239																																												
1973														0.420	1.276	0.676	0.677	1.005	0.630	0.512	0.733	1.031	0.404	0.439	0.261	0.869	1.114	0.425	0.248	0.451	0.593	0.369	1.628	0.223	0.393															0.986														0.704					0.726																	1.050	0.699	0.601	1.076												1.726								1.862		2.696				1.404		2.051	2.248	2.221									1.210	1.219	1.399		1.187		0.903		3.068		2.839								3.025											1.489	2.371	1.112																																			0.566																																0.672				0.368	0.137																																												
