Year	00M2T01C	00M2T01Z	00M2T02C	00M2T02Z	00M2T03C	00M2T04C	00M2T05C	00M6T03C	00M6T09C	00M6T10C	50B1T11C	50B1T12C	50B1T13C	50B1T14C	50B1T15C	50B4T01C	50B4T03C	50B4T13C	50B5T01C	50B5T02C	50B5T06C	50F05T04C	50F05T07C	50F05T08C	50U2T08C	50U2T09C	50U3T05C	50U3T11C	50U3T13C	50U3T14C	50U3T15C	50U6T02C	50U6T03C	50U6T04C	50U6T09C	50U6T10C	50U6T11C	50U6T12C	50U6T13C	60B1T06C	60B1T07C	60B3T11C	60B3T12C	60B3T13C	60B3T14C	60B3T15C	60B4T11C	60B4T12C	60B4T13C	60B4T14C	60B4T15C	60B5T02C	60B5T03C	60B5T06C	60B5T08C	60B6T04C	60B6T09C	60B6T12C	60B6T13C	60B6T14C	60B6T15C	60F04T22C	60F04T23C	60F04T24C	60M1T01C	60M1T03C	60M1T04C	60M1T07C	60M1T12C	60M4T05C	60M4T09C	60M4T12C	60M4T15C	60M4T16C	60M5T02C	60M5T03C	60M5T06C	60M5T14C	60M5T17C	60M6T02C	60M6T04C	60M6T05C	60M6T06C	60M6T08C	60M6T10C	60M7T01C	60M7T03C	60M7T04C	60M7T09C	60M7T12C	60M8T08C	60M8T09C	60M8T12C	60M8T14C	60M8T15C	70F10T19C	70F10T20C	70F11T11C	70F11T12C	70F11T13C	70F11T15C	70F15T11C	70F15T12C	70F15T13C	70F15T14C	70F15T15C	70F16T14C	70F16T15C	70F16T17C	70F16T18C	70F16T19C	70F32T06C	70F32T09C	70F34T11C	70F34T13C	70F34T15C	70F34T16C	70F34T18C	70F39T22C	70F39T26C	70F39T28C	70F39T29C	80F06T08C	80F06T12C	80F06T13C	80F12T03C	80F12T07C	80F12T08C	80F12T11C	80F12T13C	80F33T18C	80F35T13C	80F35T14C	80F35T15C	80F35T16C	80F35T17C	90U1T03C	90U1T05C	90U1T06C	90U1T07C	90U1T13C	90U1T14C	90U2T01C	90U2T05C	90U2T07C	90U2T10C	90U3T11C	90U3T12C	90U3T13C	90U3T14C	90U3T15C	90U5T04C	90U5T06C	90U5T08C	90U5T09C	90U5T11C	90U5T12C	90U6T02C	90U6T08C	90U6T09C	90U6T11C	90U6T13C
1893																																			0.901																																																																																																																															
1894																																			0.632																																																																																																																															
1895																																			0.710																																																																																																																															
1896																																			0.701																																																																																																																															
1897																																			1.457																																																																																																																															
1898																																			0.916																																																																																																																															
1899																																			1.162																																																																																																																															
1900																																			0.435																																																																																																																															
1901																																			0.926																																																																																																																															
1902																																			1.208																																																																																																																															
1903																																			0.938																																																																																																																															
1904																																			0.958																																																																																																																															
1905																																			1.480																																																																																																																															
1906																																			0.989																																																																																																																															
1907																																			1.406																																																																																																																															
1908																																			1.809																																																																																																																															
1909																																			0.960																																																																																																																															
1910																																			1.344																																																																																																																															
1911																																			1.460																																																																																																																															
1912																																			0.784																																																																																																																															
1913																																			0.689																																																																																																																															
1914																																			0.954																																																																																																																															
1915																																			0.996																																																																																																																															
1916																																			0.889																																																																																																																															
1917																																			0.541																																																																																																																															
1918																																			0.847																																																																																																																															
1919																																			0.763																																																																																																																															
1920																																			0.658																																																																																																																															
1921																																			0.613																																																																																																																															
1922																																			0.572																																																																																																																															
1923																																			1.063																																																																																																																															
1924																																			0.659																																																																																																																															
1925																																			0.756																																																																																																																															
1926																																			0.754																																																																																																																															
1927																																			0.508																																																																																																																															
1928																																			0.499																																																																																																																															
1929																																			0.752																																																																																																																															
1930																																			0.784																																																																																																																															
1931																																			0.675	0.435																																																																																																																														
1932																																			0.771	0.414																																																																																																																														
1933																																			0.567	0.314																																																																																																																														
1934																																			0.631	0.353																																																																																																																														
1935																																			0.642	0.341																																																																																																																														
1936																																			0.650	0.291																																																																																																																														
1937																																			0.927	0.295																																																																																																																														
1938																																			0.704	0.138																																																																																																																														
1939																																			0.596	0.228																																																																																																																														
1940																																			0.757	0.358																																												0.774																																																																																		
1941																																			0.555	0.238																																												0.877																																																																																		
1942																																			1.002	0.405																																												0.847																																																																																		
1943																																			0.704	0.290																																												1.105																																																																																		
1944																																			0.834	0.339																																												1.079																																																																																		
1945																																			0.585	0.470																																												1.228																																																																																		
1946																																			0.461	0.300																																												1.011																																																																																		
1947																																			0.651	0.309																																												0.652																																																																																		
1948																																			0.566	0.325																																												0.715																																																																																		
1949																																			0.300	0.218																																												0.786																																																																																		
1950																																			0.234	0.148																																												0.663																																																																																		
1951																																			0.363	0.268																																												0.587																																																																																		
