Year	60F04T02C	60F04T04C	70F15T03C	70F15T31C	70F16T02C	70F16T03C	70F16T04C	70F16T09C	70F32T01C	70F34T01C	70F34T02C	70F34T04C	70F34T05C	70F34T06C	70F34T31C	70F34T32C	70F34T33C	70F39T11C	70F39T12C	70F39T13C	70F39T14C	70F39T15C	80F33T01C	80F33T03C	80F33T07C	80F33T09C	80F35T01C	80F35T02C	80F35T03C	80F35T04C	80F35T06C	80F35T11C	80F35T12C	80F35T31C	80F35T32C	80F35T33C_REDO
1971									1.683																											
1972		2.801							1.965																											
1973		1.787				1.615			1.513																											
1974		1.236				2.022	2.242		1.485																											
1975		1.531				1.071	1.989		3.099																											
1976	0.445	1.105				0.646	2.485		3.752											2.011																
1977	0.382	0.803				0.382	1.590		2.405											2.342																
1978	0.455	0.589	1.819		1.261	0.691	1.215		2.575											2.531	1.985															
1979	1.529	0.763	1.482	0.846	0.344	0.499	0.498	0.312	2.425											2.836	2.342															
1980	0.572	0.653	1.325	1.874	0.993	0.492	0.602	0.828	1.563	0.834										5.234	2.475															
1981	0.859	1.021	1.048	0.973	0.743	0.870	0.737	1.079	2.036	0.640								1.736	1.126	2.246	2.246	2.413														
1982	0.971	2.365	1.116	0.371	0.790	1.426	0.171	1.560	1.823	0.575	0.871							1.492	1.836	2.572	2.920	3.122														
1983	0.981	2.103	0.454	0.232	0.715	0.894	0.668	1.378	1.746	0.630	1.437	0.966					1.269	3.086	1.102	3.710	1.417	1.578														
1984	0.489	1.173	0.669	0.403	0.608	0.967	0.818	2.777	1.598	0.788	0.434	1.040					1.327	2.405	0.682	2.673	1.448	2.127														
1985	0.630	1.060	0.521	0.465	1.522	0.974	0.529	1.751	1.937	0.883	1.153	0.587		1.632		1.143	0.758	1.196	1.462	1.976	2.003	1.694														
1986	0.731	1.585	0.531	0.551	1.114	1.181	0.668	1.724	1.640	0.627	0.988	1.192		1.302	0.455	0.413	0.611	1.742	1.771	1.642	1.454	1.547														
1987	0.599	1.616	0.668	0.709	0.864	0.887	0.906	2.608	1.122	0.768	1.303	0.890	1.175	2.326	1.037	0.434	0.355	1.291	1.251	2.080	1.446	2.351														
1988	0.556	1.476	0.714	0.582	0.828	1.081	0.979	0.000	1.059	0.584	1.185	0.884	1.609	2.355	1.101	0.635	0.729	1.461	1.543	1.868	1.127	1.144														
1989	1.008	1.584	0.745	0.666	0.983	1.045	0.896	1.523	0.730	0.533	1.184	1.110	1.655	2.170	0.635	0.603	0.303	1.797	1.759	1.663	1.370	1.398														
1990	0.504	1.190	0.607	0.699	1.126	0.916	0.671	1.491	0.878	0.625	0.893	0.849	1.356	2.354	0.340	0.455	0.534	1.871	1.796	1.367	0.948	1.685														
1991	0.835	1.753	0.332	0.646	0.839	1.613	0.816	1.741	0.974	0.310	0.540	1.025	1.377	2.307	0.550	0.466	0.552	1.991	1.611	1.214	0.837	1.504														
1992	1.032	1.436	0.503	0.508	0.566	1.411	0.996	1.417	1.079	0.532	0.567	0.490	1.206	3.531	0.349	0.783	0.467	1.732	1.231	1.247	0.943	1.398									1.734					
1993	0.767	1.486	0.614	0.254	0.386	0.788	1.260	1.192	1.027	0.956	0.798	0.637	2.128	3.284	0.635	0.476	0.390	1.641	1.148	1.319	0.696	0.847	3.207								2.796					
1994	1.159	1.041	1.192	0.359	0.990	0.557	0.944	1.703	1.027	1.169	0.657	0.908	1.904	1.839	1.175	0.603	0.447	1.922	1.411	1.251	0.684	1.008	1.791	1.133	0.942				1.448		0.794					
1995	0.942	0.997	0.763	0.413	1.049	0.331	0.683	0.756	1.069	1.444	1.050	0.737	1.085	1.852	0.995	0.656	0.781	1.492	1.802	1.314	0.739	0.699	1.218	1.528	0.826		1.133		2.708		0.773					
1996	1.202	0.914	0.723	0.275	0.432	0.682	0.564	1.682	1.069	0.797	0.393	1.483	2.473	1.063	0.624	0.889	0.655	1.768	1.536	0.816	0.719	0.668	0.777	0.795	0.741	1.064	1.365		0.994	1.228	0.455	0.624	1.767	1.047	1.280	
1997	1.218	1.051	0.241	0.191	0.195	0.469	0.353	1.608	0.793	1.288	0.726	0.643	1.233	1.253	0.709	0.921	0.693	1.335	1.674	0.339	0.965	0.783	0.829	0.650	0.403	0.555	1.376		0.942	2.075	0.783	0.498	2.498	1.662	0.159	
1998	0.997	0.658	0.523	0.360	0.191	0.469	0.715	0.660	0.603	1.875	1.058	1.369	2.050	2.444	0.646	0.381	0.411	1.186	0.593	0.615	0.385	0.604	0.586	0.912	0.412	0.605	0.561	1.852	0.635	1.701	0.689	0.455	1.334	0.899	0.942	
1999	1.038	0.807	0.559	0.296	0.468	0.489	0.544	1.149	0.434	0.868	0.773	2.025	3.081	1.086	0.699	0.551	0.672	0.383	0.837	0.943	0.140	0.604	0.712	0.835	1.149	0.587	0.846	0.891	0.947	1.674	1.093	0.423	1.058	0.551	0.508	2.714
2000	0.917	0.860	0.619	0.265	0.409	0.627	0.342	1.693	0.392	0.816	0.407	1.351	1.557	0.419	1.365	0.264	0.771	0.480	1.069	0.382	0.329	0.740	0.362	0.323	0.917	0.497	0.604	0.797	1.056	1.182	0.691	0.688	0.593	0.465	0.550	1.416
2001	0.931	0.922	0.412	0.158	0.578	0.280	0.426	0.833	0.434	1.316	1.189	0.914	0.948	1.690	0.878	0.487	0.729	1.154	0.677	0.413	0.472	0.688	0.342	0.271	0.244	0.522	0.592	1.169	0.956	1.486	1.050	0.603	1.047	0.360	0.540	0.616
2002	0.786	0.783	0.583	0.170	0.285	0.277	0.469	0.848	0.360	1.590	1.436	1.494	1.714	1.857	0.572	0.868	0.606	0.914	0.317	0.614	0.226	0.741	0.832	0.920	0.978	0.899	0.307	1.055	0.701	1.671	1.040	0.889	1.027	0.826	0.519	0.515
2003	0.301	0.435	0.318	0.074	0.621	0.293	0.204	0.563	0.540	1.271	1.189	1.624	1.281	1.992	0.571	0.349	0.631	0.865	0.434	0.615	0.308	0.212	0.809	1.604	0.767	0.814	0.667	1.264	1.055	1.761	1.310	0.551	1.164	0.984	0.688	0.507
2004	0.620	0.624	0.399	0.137	0.284	0.343	0.191	0.647	0.402	1.261	1.587	0.954	1.113	1.394	0.169	0.455	0.088	1.358	0.561	0.445	0.532	0.317	0.426	0.712	1.203	0.412	0.878	1.640	1.127	0.830	0.616	0.561	0.614	0.540	0.434	0.611
2005	0.943	0.689	0.498	0.096	0.597	0.667	0.278	1.050	0.455	1.017	1.152	1.195	1.304	1.480	0.085	0.127	0.272	1.027	0.508	0.466	0.489	0.360	1.224	1.563	1.016	0.568	0.911	1.606	1.154	1.456	0.936	0.846	0.741	0.719	0.370	0.687
