Year	60F04T02C	60F04T04C	70F15T03C	70F15T31C	70F16T02C	70F16T03C	70F16T04C	70F16T09C	70F32T01C	70F34T01C	70F34T02C	70F34T04C	70F34T05C	70F34T06C	70F34T31C	70F34T32C	70F34T33C	70F39T11C	70F39T12C	70F39T13C	70F39T14C	70F39T15C	80F33T01C	80F33T03C	80F33T07C	80F33T09C	80F35T01C	80F35T02C	80F35T03C	80F35T04C	80F35T06C	80F35T11C	80F35T12C	80F35T31C	80F35T32C	80F35T33C_REDO
1971									1.68																											
1972		2.80							1.96																											
1973		1.79				1.62			1.51																											
1974		1.24				2.02	2.24		1.49																											
1975		1.53				1.07	1.99		3.10																											
1976	0.45	1.10				0.65	2.49		3.75											2.01																
1977	0.38	0.80				0.38	1.59		2.40											2.34																
1978	0.46	0.59	1.82		1.26	0.69	1.22		2.57											2.53	1.99															
1979	1.53	0.76	1.48	0.85	0.34	0.50	0.50	0.31	2.43											2.84	2.34															
1980	0.57	0.65	1.32	1.87	0.99	0.49	0.60	0.83	1.56	0.83										5.23	2.47															
1981	0.86	1.02	1.05	0.97	0.74	0.87	0.74	1.08	2.04	0.64								1.74	1.13	2.25	2.25	2.41														
1982	0.97	2.37	1.12	0.37	0.79	1.43	0.17	1.56	1.82	0.58	0.87							1.49	1.84	2.57	2.92	3.12														
1983	0.98	2.10	0.45	0.23	0.72	0.89	0.67	1.38	1.75	0.63	1.44	0.97					1.27	3.09	1.10	3.71	1.42	1.58														
1984	0.49	1.17	0.67	0.40	0.61	0.97	0.82	2.78	1.60	0.79	0.43	1.04					1.33	2.40	0.68	2.67	1.45	2.13														
1985	0.63	1.06	0.52	0.47	1.52	0.97	0.53	1.75	1.94	0.88	1.15	0.59		1.63		1.14	0.76	1.20	1.46	1.98	2.00	1.69														
1986	0.73	1.58	0.53	0.55	1.11	1.18	0.67	1.72	1.64	0.63	0.99	1.19		1.30	0.46	0.41	0.61	1.74	1.77	1.64	1.45	1.55														
1987	0.60	1.62	0.67	0.71	0.86	0.89	0.91	2.61	1.12	0.77	1.30	0.89	1.18	2.33	1.04	0.43	0.35	1.29	1.25	2.08	1.45	2.35														
1988	0.56	1.48	0.71	0.58	0.83	1.08	0.98	0.00	1.06	0.58	1.19	0.88	1.61	2.36	1.10	0.64	0.73	1.46	1.54	1.87	1.13	1.14														
1989	1.01	1.58	0.75	0.67	0.98	1.04	0.90	1.52	0.73	0.53	1.18	1.11	1.66	2.17	0.64	0.60	0.30	1.80	1.76	1.66	1.37	1.40														
1990	0.50	1.19	0.61	0.70	1.13	0.92	0.67	1.49	0.88	0.62	0.89	0.85	1.36	2.35	0.34	0.45	0.53	1.87	1.80	1.37	0.95	1.68														
1991	0.83	1.75	0.33	0.65	0.84	1.61	0.82	1.74	0.97	0.31	0.54	1.03	1.38	2.31	0.55	0.47	0.55	1.99	1.61	1.21	0.84	1.50														
1992	1.03	1.44	0.50	0.51	0.57	1.41	1.00	1.42	1.08	0.53	0.57	0.49	1.21	3.53	0.35	0.78	0.47	1.73	1.23	1.25	0.94	1.40									1.73					
1993	0.77	1.49	0.61	0.25	0.39	0.79	1.26	1.19	1.03	0.96	0.80	0.64	2.13	3.28	0.64	0.48	0.39	1.64	1.15	1.32	0.70	0.85	3.21								2.80					
1994	1.16	1.04	1.19	0.36	0.99	0.56	0.94	1.70	1.03	1.17	0.66	0.91	1.90	1.84	1.18	0.60	0.45	1.92	1.41	1.25	0.68	1.01	1.79	1.13	0.94				1.45		0.79					
1995	0.94	1.00	0.76	0.41	1.05	0.33	0.68	0.76	1.07	1.44	1.05	0.74	1.09	1.85	1.00	0.66	0.78	1.49	1.80	1.31	0.74	0.70	1.22	1.53	0.83		1.13		2.71		0.77					
1996	1.20	0.91	0.72	0.28	0.43	0.68	0.56	1.68	1.07	0.80	0.39	1.48	2.47	1.06	0.62	0.89	0.65	1.77	1.54	0.82	0.72	0.67	0.78	0.80	0.74	1.06	1.36		0.99	1.23	0.46	0.62	1.77	1.05	1.28	
1997	1.22	1.05	0.24	0.19	0.19	0.47	0.35	1.61	0.79	1.29	0.73	0.64	1.23	1.25	0.71	0.92	0.69	1.34	1.67	0.34	0.97	0.78	0.83	0.65	0.40	0.55	1.38		0.94	2.07	0.78	0.50	2.50	1.66	0.16	
1998	1.00	0.66	0.52	0.36	0.19	0.47	0.72	0.66	0.60	1.88	1.06	1.37	2.05	2.44	0.65	0.38	0.41	1.19	0.59	0.61	0.38	0.60	0.59	0.91	0.41	0.61	0.56	1.85	0.64	1.70	0.69	0.46	1.33	0.90	0.94	
1999	1.04	0.81	0.56	0.30	0.47	0.49	0.54	1.15	0.43	0.87	0.77	2.02	3.08	1.09	0.70	0.55	0.67	0.38	0.84	0.94	0.14	0.60	0.71	0.83	1.15	0.59	0.85	0.89	0.95	1.67	1.09	0.42	1.06	0.55	0.51	2.71
